Architecture,Dimension,Window,Neg_Samples,Training_Time
CBOW,50,2,5,0.1826486587524414
Skip-gram,50,2,5,0.24787473678588867
CBOW,50,2,10,0.18447256088256836
Skip-gram,50,2,10,0.35657596588134766
CBOW,50,5,5,0.14889216423034668
Skip-gram,50,5,5,0.37714433670043945
CBOW,50,5,10,0.19666743278503418
Skip-gram,50,5,10,0.623852014541626
CBOW,50,8,5,0.1719224452972412
Skip-gram,50,8,5,0.5151362419128418
CBOW,50,8,10,0.20747613906860352
Skip-gram,50,8,10,0.8799266815185547
CBOW,100,2,5,0.14986515045166016
Skip-gram,100,2,5,0.23114991188049316
CBOW,100,2,10,0.1816399097442627
Skip-gram,100,2,10,0.3522458076477051
CBOW,100,5,5,0.1532270908355713
Skip-gram,100,5,5,0.3781566619873047
CBOW,100,5,10,0.1917247772216797
Skip-gram,100,5,10,0.6114475727081299
CBOW,100,8,5,0.16570234298706055
Skip-gram,100,8,5,0.5593421459197998
CBOW,100,8,10,0.2203841209411621
Skip-gram,100,8,10,1.1073296070098877
CBOW,200,2,5,0.21186614036560059
Skip-gram,200,2,5,0.32888340950012207
CBOW,200,2,10,0.2753450870513916
Skip-gram,200,2,10,0.5542922019958496
CBOW,200,5,5,0.2213590145111084
Skip-gram,200,5,5,0.585991621017456
CBOW,200,5,10,0.4291553497314453
Skip-gram,200,5,10,1.0552802085876465
CBOW,200,8,5,0.23905324935913086
Skip-gram,200,8,5,0.7670612335205078
CBOW,200,8,10,0.34436464309692383
Skip-gram,200,8,10,1.281904697418213
